% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (1.195400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.612803842e+02 +2.612803842e+02 +3.808203842e+02 +3.808203842e+02 -2.8667e+00 +2.6311e+00 +2.2713e+00 +3.0762e+00 -1.1696e+00 +3.6578e+00 +1.8922e+00 -2.2251e+00 -4.9741e+00 +1.8492e+00 -3.4278e+00 +6.5000e-01 -4.1567e+00 -3.0130e+00 +1.0107e+00 +3.1758e+00 -3.6048e+00 -2.3778e+00 +3.7744e-01 +3.3014e+00
2 +1.298183081e+02 +1.298183081e+02 +2.493583081e+02 +2.493583081e+02 -9.7972e-01 +1.0542e+00 -4.7912e+00 +4.3083e+00 +5.2757e-01 -1.4660e+00 +4.7314e+00 +2.6794e+00 -3.5478e+00 +1.3458e+00 -4.6214e+00 +2.8450e+00 +4.4916e+00 -4.6836e+00 +5.6799e-01 +3.3498e+00 +1.6960e+00 -1.6871e+00 -3.4376e+00 +9.2377e-01
3 +7.626887689e+01 +7.626887689e+01 +1.958088769e+02 +1.958088769e+02 +2.2126e+00 +6.5906e-01 -3.6353e+00 -9.6230e-01 -7.0788e-01 -3.5231e+00 +1.3547e+00 -2.9006e+00 -4.9242e+00 -7.2769e-01 +6.5149e-01 +4.9537e+00 -6.4271e-01 -4.6098e+00 +8.7837e-01 -3.4183e+00 +2.2708e+00 -4.2537e+00 -3.1157e+00 -2.3183e+00
9 +4.091900201e+01 +4.091900201e+01 +1.604590020e+02 +1.604590020e+02 +4.9994e-01 +1.6991e+00 -6.1866e-01 +2.0039e+00 -5.0308e-01 -4.9335e+00 +1.9648e+00 +4.4431e+00 -2.8354e+00 -1.3243e+00 -4.0302e+00 -1.7528e-01 -3.5520e+00 -2.6979e+00 +1.5212e+00 -4.9093e-01 -1.4126e-02 -2.9926e+00 +7.4778e-01 -4.5904e-01
113 +3.881385423e+01 +3.881385423e+01 +1.583538542e+02 +1.583538542e+02 +4.3065e+00 +4.5804e+00 -3.2032e+00 -3.5487e+00 +2.6016e+00 -1.9286e+00 +2.1059e+00 +4.7794e+00 -8.5600e-02 +5.8145e-01 -2.4854e+00 -3.0669e+00 -3.1467e+00 +2.6771e+00 +3.6391e-01 +4.0533e+00 +4.1575e+00 -3.8451e-01 -4.9529e-01 +1.5524e+00
% function evaluation | noise-free fitness - Fopt (6.983000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.718935212e+02 +1.718935212e+02 +2.417235212e+02 +2.417235212e+02 +3.1591e+00 -6.8498e-01 +2.4461e+00 -3.5104e+00 -4.0926e+00 -3.9531e+00 +7.0918e-01 +3.7090e+00 +2.6591e+00 +2.7637e-01 +3.8509e+00 +2.8728e+00 -6.6404e-01 +1.4979e+00 -3.3473e+00 +4.7118e+00 -8.7033e-01 +4.9977e+00 +8.0520e-01 +2.2287e+00
3 +1.028040477e+02 +1.028040477e+02 +1.726340477e+02 +1.726340477e+02 -4.3253e+00 -2.5371e+00 +1.7606e+00 -3.6890e+00 +2.2862e+00 -1.7045e+00 -4.2570e-01 +1.8179e+00 -1.9201e+00 +4.7781e+00 -1.8455e+00 -1.2203e+00 +4.1919e+00 +3.7044e+00 -4.1752e+00 -1.2455e+00 +4.3153e+00 +4.3093e+00 +4.6865e-01 +4.1314e+00
12 +8.211806332e+01 +8.211806332e+01 +1.519480633e+02 +1.519480633e+02 +3.9854e+00 -1.6380e+00 +7.5401e-01 +2.2773e-01 +3.0617e+00 -2.2815e+00 -5.2865e-01 +4.5485e+00 -2.5263e+00 +2.0372e+00 -4.2278e+00 +3.5637e+00 +2.2168e+00 -3.5956e-01 +4.2887e+00 +4.8229e+00 -4.9299e+00 +3.2179e+00 +1.4534e+00 +1.9069e+00
